郵件ID,郵件日期,交易時間,策略,帳戶,價格,交易方向,數量,倉位前,倉位後,系統狀態,錯誤訊息,原始內容
170eb1d97c8ba20c,Wed Mar 18 2020 08:49:08 GMT+0800 (Taiwan Standard Time),Wed Mar 18 2020 08:48:59 GMT+0800 (Taiwan Standard Time),策略_TCA,交易所_A,9351,reduce_long,-1,3,2,normal,,"2020/03/18 08:48:59 【策略_TCA】 ""9351"" 減碼多單，策略倉位 3 → 2 帳戶【交易所_A】(小型台指) 帳戶倉位 0 → 2 倍數 1，本次下單 2，下單後帳戶總倉位 2 策略_TCA"
170eb1d802d10243,Wed Mar 18 2020 08:49:03 GMT+0800 (Taiwan Standard Time),Wed Mar 18 2020 08:49:00 GMT+0800 (Taiwan Standard Time),,交易所_A,,,0,0,0,normal,,"交易所_AII 下單失敗,帳號 ID_MASKED 2020/03/18 08:49:00 3296後檯:原幣保證金不足，不足30276.00元"
170eb1a207d82c60,Wed Mar 18 2020 08:45:21 GMT+0800 (Taiwan Standard Time),Wed Mar 18 2020 08:45:18 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<警告/提醒> 2020/03/18 08:45:18 以下帳戶倉位不同步，請確認是否故意不同步，以免下單錯誤： 【交易所_A-策略_TCA】 (策略倉位×倍數) 3×1 ≠ 0 (帳戶倉位) 【模擬帳戶-模擬_TEST】 (策略倉位×倍數) 3×1 ≠ 1 (帳戶倉位),<警告/提醒> 2020/03/18 08:45:18 以下帳戶倉位不同步，請確認是否故意不同步，以免下單錯誤： 【交易所_A-策略_TCA】 (策略倉位×倍數) 3×1 ≠ 0 (帳戶倉位) 【模擬帳戶-模擬_TEST】 (策略倉位×倍數) 3×1 ≠ 1 (帳戶倉位)
170eb17b931a3707,Wed Mar 18 2020 08:42:44 GMT+0800 (Taiwan Standard Time),Wed Mar 18 2020 08:42:41 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<警告/提醒> 2020/03/18 08:42:41 以下帳戶倉位不同步，請確認是否故意不同步，以免下單錯誤： 【交易所_A-策略_TCA】 (策略倉位×倍數) 3×1 ≠ 0 (帳戶倉位) 【模擬帳戶-模擬_TEST】 (策略倉位×倍數) 3×1 ≠ 1 (帳戶倉位),<警告/提醒> 2020/03/18 08:42:41 以下帳戶倉位不同步，請確認是否故意不同步，以免下單錯誤： 【交易所_A-策略_TCA】 (策略倉位×倍數) 3×1 ≠ 0 (帳戶倉位) 【模擬帳戶-模擬_TEST】 (策略倉位×倍數) 3×1 ≠ 1 (帳戶倉位)
170eb17a89295a14,Wed Mar 18 2020 08:42:40 GMT+0800 (Taiwan Standard Time),Wed Mar 18 2020 08:42:37 GMT+0800 (Taiwan Standard Time),模擬_TEST,,,,0,0,0,normal,,<警告/提醒> 2020/03/18 08:42:37 【模擬_TEST】策略倉位已自動和訊號源同步：由【0】-->【3】
170eb179cb5f6466,Wed Mar 18 2020 08:42:36 GMT+0800 (Taiwan Standard Time),Wed Mar 18 2020 08:42:33 GMT+0800 (Taiwan Standard Time),策略_TCA,,,,0,0,0,normal,,<警告/提醒> 2020/03/18 08:42:33 【策略_TCA】策略倉位已自動和訊號源同步：由【0】-->【3】
170e70313cd1a9ff,Tue Mar 17 2020 13:41:42 GMT+0800 (Taiwan Standard Time),Tue Mar 17 2020 13:41:33 GMT+0800 (Taiwan Standard Time),策略_TCA,交易所_A,9417,close_long,-3,3,0,normal,,"2020/03/17 13:41:33 【策略_TCA】 ""9417"" 多單平倉，策略倉位 3 → 0 帳戶【交易所_A】(小型台指) 帳戶倉位 1 → 0 倍數 1，本次下單 -1，下單後帳戶總倉位 0 策略_TCA"
170e702fc4756ac9,Tue Mar 17 2020 13:41:36 GMT+0800 (Taiwan Standard Time),Tue Mar 17 2020 13:41:33 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<發生錯誤> 2020/03/17 13:41:33 帳戶 模擬帳戶 將超過帳戶總倉位限制【2】口，本次只會下單 -2 口。(若是【下一訊號轉倉】則不受此限制),<發生錯誤> 2020/03/17 13:41:33 帳戶 模擬帳戶 將超過帳戶總倉位限制【2】口，本次只會下單 -2 口。(若是【下一訊號轉倉】則不受此限制)
170e70237659291d,Tue Mar 17 2020 13:40:44 GMT+0800 (Taiwan Standard Time),Tue Mar 17 2020 13:40:41 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<發生錯誤> 2020/03/17 13:40:41 策略_TCA 策略價格，超過 10 分鐘未跳動，請儘快處理。,<發生錯誤> 2020/03/17 13:40:41 策略_TCA 策略價格，超過 10 分鐘未跳動，請儘快處理。
170e6e9442c55269,Tue Mar 17 2020 13:13:30 GMT+0800 (Taiwan Standard Time),Tue Mar 17 2020 13:13:26 GMT+0800 (Taiwan Standard Time),,,,,0,0,0,error,<發生錯誤> 2020/03/17 13:13:26 策略_TCA 策略價格，超過 10 分鐘未跳動，請儘快處理。,<發生錯誤> 2020/03/17 13:13:26 策略_TCA 策略價格，超過 10 分鐘未跳動，請儘快處理。
